Hombre,93,180,20,activo,"almejas,frambuesas,salsa_de_soya"
Hombre,78,175,20,medio activo,Todo
Hombre,63,175,20,sedentario,"pollo, pavo, pato, pavo"
Hombre,85,183,21,activo,"anchoas, atún, bogavante, calamar, camarones/gambas, cangrejo, pescado_de_todo_tipo, almejas, mejillones, pulpo, ostras, vieras"
Mujer,56,155,20,medio activo,"anchoas, atún, bogavante, calamar, camarones/gambas, cangrejo, pescado_de_todo_tipo, almejas, mejillones, pulpo, ostras, vieras"
Mujer,58,160,20,activo,Todo
Mujer,63,164,20,activo,"anchoas, bogavante, calamar, camarones/gambas, cangrejo, pescado_de_todo_tipo, almejas, mejillones, pulpo, ostras, vieras"
Mujer,64,150,20,activo,"anchoas, bogavante, calamar, cangrejo, pescado_de_todo_tipo, almejas, mejillones, pulpo, ostras, vieras,alcachofas, apio, berenjena, espárragos, hinojo, palmitos, raíz de apio, aceitunas,aceite_de_coco, alioli, crema_para_batir, mantequilla,_ghee, mantequilla_de_almendras, mostaza, pesto, salsa_bearnesa"
Hombre,65,165,21,activo,"mantequilla,_ghee, mantequilla_de_almendras, mayonesa, mostaza"
Mujer,75,170,20,medio activo,Todo
Mujer,46,154,26,medio activo,"res, cerdo, cordero, ternera, pato, vísceras, venado, búfalo, carne_de_caza, bacon, carne_asada, chistorra, chorizo, jamón, jamón_de_pollo, jamón_serrano, lomoembuchado, mortadela, pepperoni, prosciutto, salami, salchichas, salchichón, tempeh, natto,duros, escalfados, fritos, pasados_por_agua, revueltos, cazuelas/gratinados, chaffles, frittatas, huevos_al_horno, muffins_de_huevo, panqueques_de_huevo, pasta_keto, quesadillas_keto,duros, escalfados, fritos, pasados_por_agua, revueltos, cazuelas/gratinados, chaffles, frittatas, huevos_al_horno, muffins_de_huevo, panqueques_de_huevo, pasta_keto, quesadillas_keto,crema_para_batir, crema, ligera_o_fuerte, kéfir,_sin_endulzar, yogur entero,crema_para_batir,Huevos"
Hombre,95,175,21,activo,Todo
Hombre,75,173,20,medio activo,"anchoas, bogavante, calamar, camarones/gambas, cangrejo, pescado_de_todo_tipo, almejas, mejillones, pulpo, ostras, vieras"
Hombre,80,180,21,activo,"nueces_pecanas, nueces_de_Brasil"
Hombre,60,165,20,activo,Todo
Mujer,45,145,21,medio activo,Todo
Mujer,59,156,21,medio activo,Todo
Hombre,85,175,21,activo,Todo
Mujer,59,161,23,activo,Todo
Hombre,83,168,32,activo,"duros, escalfados, pasados_por_agua, huevos_al_horno, muffins_de_huevo, panqueques_de_huevo"
Mujer,55,164,21,sedentario,Todo
Hombre,50,150,20,medio activo,Todo
Hombre,95,170,20,medio activo,"ternera, pato, vísceras, venado, búfalo, carne_de_caza, jamón_de_pollo, jamón_serrano, lomoembuchado, mortadela, tofu,_extra_firme, natto, escalfados, pasados_por_agua, cazuelas/gratinados, chaffles, muffins_de_huevo, panqueques_de_huevo, pasta_keto, quesadillas_keto, quichés, acelgas, alcachofas, berenjena, berzas, brotes, calabaza, coliflor, colinabo, col rizada, escarola, espárragos, grelos, guisantes/arvejas_y_tirabeques, hojas_de_mostaza, hojas_de_nabo, nabos, nopal, okra, puerros, raíz de apio, rúcula, setas, zapallo, aceitunas, ajo, chalotas, pepinillos, sin azúcar_añadido, coco, nueces_pecanas, nueces_de_Brasil, nueces_de_macadamia, nueces, piñones, brie, feta, kéfir,_sin_endulzar, aceite_de_coco, alioli, mantequilla_de_almendras, mostaza, pesto, vinagreta"
Mujer,73,170,21,medio activo,"pollo, pato, vísceras, venado, búfalo, carne_de_caza, jamón_de_pollo, ostras, escalfados, fritos, revueltos, chaffles, frittatas, huevos_al_horno, omelets, aguacate, brócoli, calabaza, coliflor, ejotes/judías_verdes, guisantes/arvejas_y_tirabeques, rábanos, nueces_de_Brasil, manís/cacahuetes, brie, suizo, yogur entero, guacamole, queso_crema, tabasco/salsa_picante"
Mujer,82,155,34,medio activo,Todo
