Hombre,93,180,20,activo,"almejas,frambuesa,salsa_de_soya"
Hombre,78,175,20,medio activo,Todo
Hombre,63,175,20,sedentario,"pollo, pavo, pato"
Hombre,85,183,21,activo,"anchoas, atun, bogavante, calamar, camarones/gambas, cangrejo, almejas, mejillones, pulpo, ostras, vieras"
Mujer,56,155,20,medio activo,"anchoas, atun, bogavante, calamar, camarones/gambas, cangrejo, almejas, mejillones, pulpo, ostras, vieras"
Mujer,58,160,20,activo,Todo
Mujer,63,164,20,activo,"anchoas, bogavante, calamar, camarones/gambas, cangrejo, almejas, mejillones, pulpo, ostras, vieras"
Mujer,64,150,20,activo,"anchoas, bogavante, calamar, cangrejo, almejas, mejillones, pulpo, ostras, vieras,alcachofas, apio, berenjena, esparragos, hinojo, palmitos, raiz_de_apio, aceitunas,aceite_de_coco, alioli, crema_para_batir, mantequilla_ghee, mantequilla_de_almendras, mostaza, pesto, salsa_bearnesa"
Hombre,65,165,21,activo,"mantequilla_ghee, mantequilla_de_almendras, mayonesa, mostaza"
Mujer,75,170,20,medio activo,Todo
Mujer,60,154,26,medio activo,"res, cerdo, cordero, ternera, pato, visceras, venado, bufalo, carne_de_caza, bacon, carne_asada, chistorra, chorizo, jamon, jamon_de_pollo"
Hombre,95,175,21,activo,Todo
Hombre,85,173,20,medio activo,"anchoas, bogavante, calamar, camarones/gambas, cangrejo,  almejas, mejillones, pulpo, ostras, vieras"
Hombre,80,180,21,activo,"nueces_pecanas, nueces_de_Brasil"
Hombre,60,165,20,activo,Todo
Mujer,65,160,21,medio activo,Todo
Mujer,59,156,21,medio activo,Todo
Hombre,85,175,21,activo,Todo
Mujer,59,161,23,activo,Todo
Hombre,83,168,32,activo,"duros, escalfados, pasados_por_agua, huevos_al_horno, muffins_de_huevo, panqueques_de_huevo"
Mujer,80,170,21,sedentario,Todo
Hombre,50,150,20,medio activo,Todo
Hombre,95,170,20,medio activo,"ternera, pato, visceras, venado, bufalo, carne_de_caza, jamon_de_pollo, jamon_serrano, lomo_embuchado, mortadela, chaffles, muffins_de_huevo, panqueques_de_huevo, berenjena,raiz_de_apio, rucula, setas, zapallo, aceitunas, ajo, chalotas, pepinillos, coco, nueces_pecanas, nueces_de_Brasil, nueces_de_macadamia, nueces, pinones, brie, feta, kefir, aceite_de_coco, alioli, mantequilla_de_almendras, mostaza, pesto, vinagreta"
Mujer,73,170,21,medio activo,"pollo, pato, visceras, venado, bufalo, carne_de_caza, jamon_de_pollo, ostras, escalfados, fritos, revueltos, chaffles, frittatas, huevos_al_horno, omelets, aguacate, brocoli, calabaza, coliflor, ejotes/judias_verdes, guisantes/arvejas_y_tirabeques, rabanos, nueces_de_Brasil, manis/cacahuates, brie, suizo, yogur_entero, guacamole, queso_crema"
Mujer,82,155,34,medio activo,Todo
